country,real_overall_happiness,real_gdp,real_social_support,real_health,real_freedom,real_generosity,real_corruption,real_life_evaluation,approach,llm_overall_happiness,llm_gdp,llm_social_support,llm_health,llm_freedom,llm_generosity,llm_corruption,llm_life_evaluation,diff_overall_happiness,diff_life_evaluation,diff_gdp,diff_social_support,diff_health,diff_freedom,diff_generosity,diff_corruption,region,income_level,global_north_south,world_123,east_west,continent,developed_country_type,developed_east_vs_west,economic_model
Austria,6.81,1.791,1.592,0.814,0.856,0.179,0.28,6.81,initial,7.385,6.640000000000001,8.52,7.01,7.505,4.15,6.615,7.385,0.5750000000000002,0.5750000000000002,4.849,6.927999999999999,6.196,6.649,3.971000000000001,6.335,Western Europe,High Income,Global North,World 1,West,Europe,Central Europe,Developed West,Social Market
Azerbaijan,4.875,1.428,1.03,0.707,0.785,0.076,0.179,4.875,initial,6.805,5.6450000000000005,8.16,6.69,6.459999999999999,3.76,2.53,6.805,1.93,1.93,4.2170000000000005,7.13,5.9830000000000005,5.674999999999999,3.684,2.3510000000000004,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Bahrain,6.03,1.752,1.391,0.609,0.907,0.148,0.167,6.03,initial,7.159999999999999,6.534999999999999,8.485,6.904999999999999,7.005,4.615,4.835,7.159999999999999,1.129999999999999,1.129999999999999,4.783,7.093999999999999,6.295999999999999,6.098,4.4670000000000005,4.668,Middle East,Upper Middle Income,Global North,World 2,East,Asia,Non-Developed,Non-Developed,Non-High Income
Bangladesh,3.851,1.116,0.286,0.592,0.92,0.11,0.132,3.851,initial,6.615,5.17,7.995,6.44,6.39,3.995,2.24,6.615,2.764,2.764,4.054,7.709,5.848000000000001,5.47,3.885,2.108,South Asia,Low Income,Global South,World 3,East,Asia,Non-Developed,Non-Developed,Non-High Income
Belgium,6.91,1.783,1.646,0.852,0.895,0.119,0.306,6.91,initial,7.31,6.545,8.485,6.970000000000001,7.445,4.2,6.345000000000001,7.31,0.3999999999999994,0.3999999999999994,4.7620000000000005,6.839,6.118,6.550000000000001,4.081,6.039000000000001,Western Europe,High Income,Global North,World 1,West,Europe,Central Europe,Developed West,Social Market
Belize,6.711,1.256,1.54,0.525,1.018,0.072,0.082,6.711,initial,7.115,5.779999999999999,8.375,6.87,7.404999999999999,4.485,3.2350000000000003,7.115,0.4039999999999999,0.4039999999999999,4.523999999999999,6.835,6.345,6.387,4.413,3.1530000000000005,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Benin,4.357,0.855,0.228,0.357,0.679,0.092,0.238,4.357,initial,6.605,4.955,7.945,6.505,6.76,4.205,2.615,6.605,2.2479999999999998,2.2479999999999998,4.1,7.717,6.148,6.081,4.113,2.377,Other,Lower Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Bolivia,5.868,1.173,1.356,0.346,0.817,0.067,0.052,5.868,initial,6.82,5.41,8.275,6.640000000000001,7.045,3.7,2.495,6.82,0.952,0.952,4.237,6.9190000000000005,6.2940000000000005,6.228,3.633,2.443,Latin America,Upper Middle Income,Global South,World 2,West,South America,Non-Developed,Non-Developed,Non-High Income
Bosnia and Herzegovina,6.136,1.405,1.545,0.616,0.749,0.178,0.009,6.136,initial,6.720000000000001,5.1850000000000005,8.209999999999999,6.609999999999999,6.855,3.8,2.2,6.720000000000001,0.5840000000000005,0.5840000000000005,3.78,6.664999999999999,5.994,6.106,3.622,2.1910000000000003,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Botswana,3.438,1.388,1.146,0.094,0.697,0.018,0.083,3.438,initial,6.94,5.835,8.24,6.734999999999999,7.290000000000001,4.265,4.5200000000000005,6.94,3.502,3.502,4.447,7.094,6.640999999999999,6.593000000000001,4.247,4.437,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Brazil,6.494,1.391,1.519,0.48,0.83,0.089,0.127,6.494,initial,6.975,5.715,8.365,6.69,7.234999999999999,3.93,2.63,6.975,0.4809999999999998,0.4809999999999998,4.324,6.846,6.210000000000001,6.404999999999999,3.841,2.503,Latin America,Upper Middle Income,Global South,World 2,West,South America,Non-Developed,Non-Developed,Non-High Income
Bulgaria,5.554,1.573,1.725,0.463,0.708,0.055,0.0,5.554,initial,6.7700000000000005,5.585,8.190000000000001,6.67,7.095000000000001,3.51,2.615,6.7700000000000005,1.2160000000000002,1.2160000000000002,4.0120000000000005,6.465000000000002,6.207,6.3870000000000005,3.455,2.615,Eastern Europe,Upper Middle Income,Global South,World 2,East,Europe,Non-Developed,Non-Developed,Non-High Income
Burkina Faso,4.383,0.724,0.828,0.296,0.671,0.142,0.218,4.383,initial,6.15,4.38,7.83,6.26,6.15,4.0,2.24,6.15,1.7670000000000003,1.7670000000000003,3.656,7.002,5.964,5.479,3.858,2.022,Other,Lower Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Cambodia,4.341,1.049,1.215,0.481,0.988,0.138,0.078,4.341,initial,6.779999999999999,5.575,8.055,6.56,6.8,3.99,2.535,6.779999999999999,2.438999999999999,2.438999999999999,4.526,6.84,6.079,5.811999999999999,3.852,2.4570000000000003,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Cameroon,4.887,0.944,0.986,0.302,0.662,0.099,0.06,4.887,initial,6.459999999999999,4.7700000000000005,7.87,6.475,6.409999999999999,4.04,2.07,6.459999999999999,1.5729999999999995,1.5729999999999995,3.826000000000001,6.884,6.173,5.747999999999999,3.941,2.01,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Canada,6.803,1.749,1.647,0.832,0.813,0.168,0.323,6.803,initial,7.32,6.265,8.54,6.965000000000001,7.62,4.42,6.1450000000000005,7.32,0.5170000000000003,0.5170000000000003,4.516,6.892999999999999,6.133000000000001,6.807,4.252,5.822,North America,High Income,Global North,World 1,West,North America,Anglo-Saxon,Developed West,Market Liberal
Chad,4.384,0.592,0.902,0.242,0.477,0.175,0.111,4.384,initial,6.1,4.275,7.69,6.154999999999999,6.15,3.925,2.045,6.1,1.7159999999999993,1.7159999999999993,3.683,6.788,5.912999999999999,5.673,3.75,1.934,Other,Lower Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Chile,6.361,1.537,1.577,0.711,0.779,0.093,0.085,6.361,initial,7.06,5.99,8.325,6.795,7.295,3.74,3.71,7.06,0.6989999999999998,0.6989999999999998,4.453,6.747999999999999,6.084,6.516,3.647,3.625,Latin America,Upper Middle Income,Global South,World 2,West,South America,Non-Developed,Non-Developed,Non-High Income
China,5.921,1.445,1.307,0.789,0.764,0.079,0.154,5.921,initial,6.885,6.105,8.014999999999999,6.715000000000001,6.49,3.365,3.78,6.885,0.9639999999999996,0.9639999999999996,4.659999999999999,6.707999999999998,5.926000000000001,5.726,3.286,3.626,East Asia,Upper Middle Income,Global South,World 2,East,Asia,Non-Developed,Non-Developed,Non-High Income
Colombia,6.004,1.38,1.513,0.587,0.777,0.039,0.051,6.004,initial,6.98,5.615,8.35,6.775,7.13,3.82,2.62,6.98,0.976,0.976,4.235,6.837,6.188000000000001,6.353,3.781,2.569,Latin America,Lower Middle Income,Global South,World 2,West,South America,Non-Developed,Non-Developed,Non-High Income
Comoros,3.754,0.835,0.501,0.428,0.26,0.117,0.164,3.754,initial,6.495,4.55,7.975,6.465000000000001,6.540000000000001,3.770000000000001,2.535,6.495,2.741,2.741,3.715,7.473999999999999,6.037000000000001,6.280000000000001,3.653000000000001,2.371,Other,Lower Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Congo,5.03,1.023,0.796,0.336,0.626,0.082,0.126,5.03,initial,6.19,4.315,7.784999999999999,6.265,6.37,3.955,1.825,6.19,1.1599999999999993,1.1599999999999993,3.292,6.988999999999999,5.928999999999999,5.744,3.873,1.6989999999999998,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Costa Rica,7.274,1.492,1.6,0.68,0.948,0.067,0.118,7.274,initial,7.284999999999999,6.035,8.540000000000001,6.98,7.49,4.115,4.48,7.284999999999999,0.0109999999999992,0.0109999999999992,4.543,6.940000000000001,6.3,6.542,4.048,4.361999999999999,North America,Upper Middle Income,Global South,World 2,West,North America,Non-Developed,Non-Developed,Non-High Income
Côte d’Ivoire,5.102,1.038,0.76,0.206,0.661,0.1,0.162,5.102,initial,6.840000000000001,5.54,8.11,6.6,6.970000000000001,4.035,2.885,6.840000000000001,1.7380000000000004,1.7380000000000004,4.502,7.35,6.393999999999999,6.309000000000001,3.935,2.7230000000000003,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Croatia,5.87,1.644,1.673,0.669,0.478,0.022,0.065,5.87,initial,7.029999999999999,5.87,8.389999999999999,6.865,7.290000000000001,3.67,3.195,7.029999999999999,1.1599999999999993,1.1599999999999993,4.226,6.716999999999999,6.196,6.812000000000001,3.648000000000001,3.13,Eastern Europe,Upper Middle Income,Global South,World 2,East,Europe,Non-Developed,Non-Developed,Non-High Income
Cyprus,5.942,1.72,1.348,0.84,0.612,0.108,0.041,5.942,initial,7.109999999999999,6.12,8.47,6.875,7.325,4.05,3.85,7.109999999999999,1.1679999999999993,1.1679999999999993,4.4,7.122000000000001,6.035,6.713,3.942,3.809,Western Europe,Upper Middle Income,Global North,World 2,West,Europe,Non-Developed,Non-Developed,Non-High Income
Czechia,6.775,1.692,1.716,0.658,0.916,0.118,0.084,6.775,initial,7.125,6.245,8.36,6.88,7.529999999999999,3.785,4.625,7.125,0.3499999999999996,0.3499999999999996,4.553,6.643999999999999,6.222,6.613999999999999,3.667,4.541,Eastern Europe,Upper Middle Income,Global North,World 2,East,Europe,Non-Developed,Non-Developed,Non-High Income
Denmark,7.521,1.825,1.748,0.82,0.955,0.15,0.488,7.521,initial,7.645,6.970000000000001,8.695,7.234999999999999,7.955,4.665,8.65,7.645,0.1240000000000005,0.1240000000000005,5.1450000000000005,6.947,6.414999999999999,7.0,4.515,8.162,Western Europe,High Income,Global North,World 1,West,Europe,Nordic,Developed West,Social Market
Dominican Republic,5.846,1.457,1.5,0.615,0.866,0.063,0.186,5.846,initial,7.034999999999999,5.76,8.35,6.87,7.279999999999999,3.905,2.865,7.034999999999999,1.1889999999999992,1.1889999999999992,4.303,6.85,6.255,6.414,3.842,2.679,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
DR Congo,3.469,0.544,0.929,0.278,0.6,0.151,0.061,3.469,initial,6.005,4.07,7.69,6.2,6.225,3.94,1.54,6.005,2.536,2.536,3.526,6.761,5.922000000000001,5.625,3.789,1.479,Other,Lower Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Ecuador,5.965,1.299,1.32,0.702,0.712,0.058,0.066,5.965,initial,6.85,5.415,8.26,6.695,6.95,3.835,2.545,6.85,0.8849999999999998,0.8849999999999998,4.116,6.94,5.993,6.238,3.777,2.479,Latin America,Upper Middle Income,Global South,World 2,West,South America,Non-Developed,Non-Developed,Non-High Income
Egypt,3.817,1.347,1.075,0.473,0.593,0.018,0.103,3.817,initial,6.24,4.035,7.979999999999999,6.345000000000001,5.755,3.735,2.075,6.24,2.423,2.423,2.688,6.904999999999999,5.872000000000001,5.162,3.717000000000001,1.972,Africa,Lower Middle Income,Global South,World 2,Other,Africa,Non-Developed,Non-Developed,Non-High Income
El Salvador,6.492,1.222,1.228,0.559,0.955,0.054,0.264,6.492,initial,6.970000000000001,5.715,8.285,6.734999999999999,7.084999999999999,3.825,3.435,6.970000000000001,0.4780000000000006,0.4780000000000006,4.493,7.057,6.175999999999999,6.129999999999999,3.771,3.1710000000000003,North America,Upper Middle Income,Global South,World 2,West,North America,Non-Developed,Non-Developed,Non-High Income
Estonia,6.417,1.65,1.716,0.642,0.902,0.128,0.378,6.417,initial,7.159999999999999,6.275,8.370000000000001,6.890000000000001,7.67,3.885,7.44,7.159999999999999,0.7429999999999994,0.7429999999999994,4.625,6.654000000000001,6.248,6.768,3.757,7.062,Eastern Europe,Upper Middle Income,Global North,World 2,East,Europe,Non-Developed,Non-Developed,Non-High Income
Eswatini,3.774,1.183,1.152,0.038,0.428,0.054,0.13,3.774,initial,6.635,5.2,8.084999999999999,6.43,6.825,4.205,2.8600000000000003,6.635,2.861,2.861,4.017,6.932999999999999,6.392,6.397,4.151,2.7300000000000004,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Ethiopia,3.898,0.757,1.051,0.416,0.54,0.182,0.1,3.898,initial,6.29,4.42,7.790000000000001,6.3,6.105,3.785,2.26,6.29,2.392,2.392,3.663,6.739000000000001,5.884,5.565,3.603,2.16,Africa,Low Income,Global South,World 3,Other,Africa,Non-Developed,Non-Developed,Non-High Income
Finland,7.736,1.749,1.783,0.824,0.986,0.11,0.502,7.736,initial,7.564999999999999,6.65,8.665000000000001,7.135,7.82,4.25,8.73,7.564999999999999,-0.1710000000000002,-0.1710000000000002,4.901,6.8820000000000014,6.311,6.8340000000000005,4.14,8.228,Western Europe,High Income,Global North,World 1,West,Europe,Nordic,Developed West,Social Market
France,6.593,1.733,1.535,0.832,0.743,0.099,0.264,6.593,initial,7.095000000000001,6.135,8.370000000000001,6.834999999999999,7.17,3.955,4.565,7.095000000000001,0.5020000000000007,0.5020000000000007,4.401999999999999,6.835000000000001,6.002999999999999,6.427,3.856,4.300999999999999,Western Europe,Upper Middle Income,Global North,World 2,West,Europe,Non-Developed,Non-Developed,Non-High Income
Gabon,5.12,1.386,1.224,0.387,0.651,0.042,0.086,5.12,initial,6.67,5.39,8.03,6.575,6.715000000000001,3.815,2.43,6.67,1.5499999999999998,1.5499999999999998,4.004,6.805999999999999,6.188000000000001,6.064000000000001,3.773,2.3440000000000003,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Gambia,4.423,0.778,0.958,0.348,0.611,0.255,0.045,4.423,initial,6.635,4.9,8.1,6.625,6.975,4.37,2.825,6.635,2.212,2.212,4.122,7.142,6.277,6.364,4.115,2.78,Other,Lower Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Georgia,5.4,1.444,1.275,0.482,0.844,0.0,0.172,5.4,initial,6.88,5.545,8.245000000000001,6.6,6.965000000000001,3.655,3.425,6.88,1.4799999999999995,1.4799999999999995,4.101,6.970000000000001,6.117999999999999,6.121,3.655,3.253,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Germany,6.753,1.785,1.625,0.776,0.858,0.148,0.351,6.753,initial,7.245,6.45,8.415,6.959999999999999,7.475,3.995,6.74,7.245,0.492,0.492,4.665,6.789999999999999,6.183999999999999,6.617,3.847,6.389,Western Europe,High Income,Global North,World 1,West,Europe,Central Europe,Developed West,Social Market
Ghana,4.34,1.053,1.01,0.438,0.771,0.139,0.025,4.34,initial,6.659999999999999,4.805,8.065000000000001,6.615,6.955,4.4350000000000005,2.4850000000000003,6.659999999999999,2.3199999999999994,2.3199999999999994,3.752,7.0550000000000015,6.1770000000000005,6.184,4.296,2.4600000000000004,Africa,Upper Middle Income,Global South,World 2,Other,Africa,Non-Developed,Non-Developed,Non-High Income
Greece,5.776,1.608,1.438,0.725,0.396,0.003,0.063,5.776,initial,6.9,5.44,8.36,6.709999999999999,7.08,3.755,2.945,6.9,1.1240000000000006,1.1240000000000006,3.832,6.922,5.984999999999999,6.684,3.752,2.882,Western Europe,Upper Middle Income,Global North,World 2,West,Europe,Non-Developed,Non-Developed,Non-High Income
Guatemala,6.362,1.249,1.33,0.376,0.882,0.075,0.085,6.362,initial,6.805,5.42,8.165000000000001,6.675,6.875,4.0,2.165,6.805,0.4429999999999996,0.4429999999999996,4.170999999999999,6.835000000000001,6.299,5.993,3.925,2.08,North America,Upper Middle Income,Global South,World 2,West,North America,Non-Developed,Non-Developed,Non-High Income
Guinea,4.929,0.873,0.791,0.306,0.676,0.157,0.098,4.929,initial,6.345000000000001,4.535,7.840000000000001,6.305,6.265,3.715,2.075,6.345000000000001,1.4160000000000004,1.4160000000000004,3.662,7.049,5.999,5.589,3.558,1.977,Other,Lower Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Honduras,5.964,1.036,1.187,0.436,0.862,0.134,0.079,5.964,initial,6.595000000000001,5.0600000000000005,8.14,6.62,6.745,3.78,2.025,6.595000000000001,0.6310000000000002,0.6310000000000002,4.024000000000001,6.953,6.184,5.883,3.646,1.946,North America,Upper Middle Income,Global South,World 2,West,North America,Non-Developed,Non-Developed,Non-High Income
Hong Kong SAR of China,5.491,1.79,1.41,0.948,0.674,0.116,0.386,5.491,initial,6.965000000000001,6.12,8.135,6.715000000000001,6.39,4.029999999999999,4.695,6.965000000000001,1.474000000000001,1.474000000000001,4.33,6.725,5.767000000000001,5.715999999999999,3.9139999999999993,4.309,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Hungary,5.915,1.638,1.742,0.587,0.681,0.099,0.057,5.915,initial,6.790000000000001,5.3,8.205,6.605,6.82,3.56,2.685,6.790000000000001,0.8750000000000009,0.8750000000000009,3.662,6.463,6.018,6.139,3.461,2.628,Eastern Europe,Upper Middle Income,Global South,World 2,East,Europe,Non-Developed,Non-Developed,Non-High Income
Iceland,7.515,1.799,1.84,0.873,0.971,0.201,0.173,7.515,initial,7.695,6.745,8.805,7.265000000000001,7.935,4.46,8.41,7.695,0.1800000000000006,0.1800000000000006,4.946,6.965,6.392,6.964,4.259,8.237,Western Europe,High Income,Global North,World 1,West,Europe,Nordic,Developed West,Other High Income
India,4.389,1.149,0.86,0.316,0.914,0.141,0.12,4.389,initial,6.92,5.88,8.145,6.56,6.970000000000001,4.07,2.855,6.92,2.531,2.531,4.731,7.284999999999999,6.244,6.056000000000001,3.929,2.735,South Asia,Lower Middle Income,Global South,World 2,East,Asia,Non-Developed,Non-Developed,Non-High Income
Indonesia,5.617,1.288,1.372,0.454,0.918,0.323,0.044,5.617,initial,6.984999999999999,6.005,8.24,6.725,7.1450000000000005,4.12,3.095,6.984999999999999,1.3679999999999994,1.3679999999999994,4.717,6.868,6.271,6.227,3.797,3.051,Other,Lower Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Iran,5.093,1.33,1.367,0.609,0.456,0.202,0.122,5.093,initial,6.085,3.75,7.88,6.335,4.415,3.62,1.72,6.085,0.992,0.992,2.42,6.513,5.726,3.959,3.418,1.598,Middle East,Upper Middle Income,Global South,World 2,East,Asia,Non-Developed,Non-Developed,Non-High Income
Iraq,4.976,1.261,1.275,0.589,0.503,0.1,0.069,4.976,initial,6.365,4.925,7.915000000000001,6.29,6.2,3.875,1.995,6.365,1.3890000000000002,1.3890000000000002,3.664,6.640000000000001,5.7010000000000005,5.697,3.775,1.926,Middle East,Upper Middle Income,Global South,World 2,East,Asia,Non-Developed,Non-Developed,Non-High Income
Ireland,6.889,1.988,1.659,0.823,0.906,0.179,0.382,6.889,initial,7.32,6.35,8.59,6.935,7.465000000000001,4.44,6.220000000000001,7.32,0.431,0.431,4.362,6.931,6.112,6.559000000000001,4.260999999999999,5.838000000000001,Western Europe,High Income,Global North,World 1,West,Europe,Anglo-Saxon,Developed West,Market Liberal
Israel,7.234,1.695,1.743,0.824,0.74,0.144,0.193,7.234,initial,6.63,5.785,8.28,6.635,6.69,4.5200000000000005,3.17,6.63,-0.6040000000000001,-0.6040000000000001,4.09,6.536999999999999,5.811,5.95,4.376,2.977,Middle East,High Income,Global North,World 1,East,Asia,Middle East Developed,Other Developed,Other High Income
Italy,6.415,1.724,1.526,0.852,0.641,0.082,0.071,6.415,initial,7.07,5.95,8.365,6.855,7.08,3.85,3.24,7.07,0.6550000000000002,0.6550000000000002,4.226,6.839,6.002999999999999,6.439,3.768,3.169,Western Europe,Upper Middle Income,Global North,World 2,West,Europe,Non-Developed,Non-Developed,Non-High Income
Jamaica,5.87,1.182,1.545,0.504,0.869,0.075,0.019,5.87,initial,6.8950000000000005,5.455,8.275,6.715000000000001,7.195,4.315,2.73,6.8950000000000005,1.0250000000000004,1.0250000000000004,4.273,6.73,6.211,6.3260000000000005,4.239999999999999,2.711,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Japan,6.147,1.678,1.55,0.921,0.746,0.014,0.2,6.147,initial,6.975,6.1,8.175,6.74,7.040000000000001,3.505,6.39,6.975,0.8279999999999994,0.8279999999999994,4.422,6.625000000000001,5.819,6.2940000000000005,3.491,6.19,East Asia,High Income,Global North,World 1,East,Asia,Developed East Asia,Developed East Asia,State-Led Development
Jordan,4.31,1.158,1.202,0.573,0.7,0.051,0.164,4.31,initial,6.63,4.96,8.190000000000001,6.495,6.435,4.17,2.83,6.63,2.3200000000000003,2.3200000000000003,3.802,6.988000000000001,5.922000000000001,5.734999999999999,4.119,2.666,Middle East,Upper Middle Income,Global South,World 2,East,Asia,Non-Developed,Non-Developed,Non-High Income
Kazakhstan,6.378,1.586,1.688,0.504,0.878,0.111,0.118,6.378,initial,6.82,5.805,8.195,6.715000000000001,6.815,3.71,2.83,6.82,0.4420000000000001,0.4420000000000001,4.218999999999999,6.507000000000001,6.211,5.937,3.599,2.712,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Kenya,4.51,0.994,1.047,0.448,0.649,0.22,0.073,4.51,initial,6.67,5.125,8.084999999999999,6.640000000000001,6.909999999999999,4.345000000000001,2.275,6.67,2.16,2.16,4.131,7.037999999999999,6.192,6.260999999999999,4.125000000000001,2.202,Africa,Upper Middle Income,Global South,World 2,Other,Africa,Non-Developed,Non-Developed,Non-High Income
Kosovo,6.659,1.281,1.454,0.896,0.893,0.201,0.087,6.659,initial,6.8950000000000005,5.535,8.32,6.73,7.075,3.86,2.775,6.8950000000000005,0.2360000000000006,0.2360000000000006,4.254,6.8660000000000005,5.834,6.182,3.659,2.688,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Kuwait,6.629,1.691,1.481,0.766,0.934,0.143,0.167,6.629,initial,7.35,7.105,8.625,6.909999999999999,7.26,4.725,4.1850000000000005,7.35,0.7210000000000001,0.7210000000000001,5.414,7.144,6.143999999999999,6.326,4.582,4.018000000000001,Middle East,High Income,Global North,World 1,East,Asia,Middle East Developed,Other Developed,Resource-Based
Kyrgyzstan,5.858,1.032,1.715,0.647,0.981,0.169,0.053,5.858,initial,6.720000000000001,5.265,8.22,6.575,6.82,3.5700000000000003,2.375,6.720000000000001,0.862000000000001,0.862000000000001,4.233,6.505000000000001,5.928,5.839,3.401,2.322,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Lao PDR,5.301,1.122,1.01,0.493,0.916,0.145,0.164,5.301,initial,6.745,5.33,8.045,6.57,6.6450000000000005,3.76,2.72,6.745,1.444,1.444,4.208,7.035,6.077,5.729,3.615,2.556,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Latvia,6.207,1.619,1.711,0.503,0.789,0.108,0.082,6.207,initial,6.98,5.93,8.315000000000001,6.725,7.404999999999999,3.845,4.9,6.98,0.7729999999999997,0.7729999999999997,4.311,6.604000000000001,6.222,6.616,3.737,4.8180000000000005,Eastern Europe,Upper Middle Income,Global North,World 2,East,Europe,Non-Developed,Non-Developed,Non-High Income
Lebanon,3.188,1.223,0.984,0.44,0.279,0.071,0.041,3.188,initial,5.985,3.24,7.92,6.335,6.085,3.6,1.155,5.985,2.797,2.797,2.0169999999999995,6.936,5.895,5.806,3.529,1.114,Middle East,Upper Middle Income,Global South,World 2,East,Asia,Non-Developed,Non-Developed,Non-High Income
Lesotho,3.757,0.737,1.131,0.0,0.606,0.065,0.072,3.757,initial,6.57,4.865,8.02,6.335,6.92,3.99,2.625,6.57,2.813,2.813,4.128,6.888999999999999,6.335,6.314,3.925,2.553,Other,Lower Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Liberia,4.277,0.582,0.888,0.324,0.653,0.143,0.068,4.277,initial,6.245,4.32,7.845000000000001,6.26,6.665000000000001,4.295,2.055,6.245,1.968,1.968,3.738,6.957000000000001,5.936,6.0120000000000005,4.152,1.987,Other,Lower Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Libya,5.82,1.247,1.309,0.549,0.724,0.111,0.214,5.82,initial,6.18,4.41,7.85,6.295,5.885,3.71,1.89,6.18,0.3599999999999994,0.3599999999999994,3.1630000000000003,6.541,5.746,5.161,3.599,1.676,Africa,Upper Middle Income,Global South,World 2,Other,Africa,Non-Developed,Non-Developed,Non-High Income
Lithuania,6.829,1.684,1.699,0.592,0.702,0.031,0.123,6.829,initial,7.034999999999999,6.13,8.33,6.834999999999999,7.45,3.74,5.279999999999999,7.034999999999999,0.2059999999999995,0.2059999999999995,4.446,6.631,6.242999999999999,6.748,3.709,5.156999999999999,Eastern Europe,Upper Middle Income,Global North,World 2,East,Europe,Non-Developed,Non-Developed,Non-High Income
Luxembourg,7.122,2.028,1.558,0.864,0.931,0.117,0.397,7.122,initial,7.555,7.290000000000001,8.59,7.125,7.825,4.48,7.984999999999999,7.555,0.4329999999999998,0.4329999999999998,5.2620000000000005,7.032,6.261,6.894,4.363,7.587999999999999,Western Europe,High Income,Global North,World 1,West,Europe,Central Europe,Developed West,Other High Income
Madagascar,4.157,0.588,0.938,0.341,0.292,0.131,0.118,4.157,initial,6.409999999999999,4.43,7.909999999999999,6.385,6.675,3.67,2.19,6.409999999999999,2.2529999999999992,2.2529999999999992,3.842,6.972,6.044,6.383,3.5390000000000006,2.072,Other,Lower Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Malawi,3.26,0.588,0.489,0.28,0.677,0.115,0.136,3.26,initial,6.29,4.285,7.895,6.404999999999999,6.659999999999999,4.21,2.285,6.29,3.03,3.03,3.697,7.406000000000001,6.124999999999999,5.982999999999999,4.095,2.149,Other,Lower Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Malaysia,5.955,1.571,1.315,0.446,0.991,0.181,0.11,5.955,initial,7.029999999999999,6.045,8.2,6.654999999999999,7.154999999999999,3.91,3.5450000000000004,7.029999999999999,1.0749999999999993,1.0749999999999993,4.474,6.885,6.209,6.164,3.729,3.4350000000000005,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Mali,4.345,0.709,0.908,0.318,0.767,0.093,0.114,4.345,initial,6.275,4.485,7.895,6.3,6.18,4.195,2.075,6.275,1.9300000000000008,1.9300000000000008,3.776,6.987,5.982,5.412999999999999,4.102,1.961,Other,Lower Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Malta,6.316,1.76,1.671,0.837,0.837,0.217,0.115,6.316,initial,7.205,6.34,8.5,6.845000000000001,7.375,4.12,4.0200000000000005,7.205,0.8890000000000002,0.8890000000000002,4.58,6.829,6.008000000000001,6.538,3.903,3.905,Western Europe,Upper Middle Income,Global North,World 2,West,Europe,Non-Developed,Non-Developed,Non-High Income
Mauritania,4.542,1.023,0.919,0.516,0.454,0.113,0.195,4.542,initial,6.540000000000001,4.925,7.9,6.3950000000000005,6.38,4.035,2.475,6.540000000000001,1.998000000000001,1.998000000000001,3.902,6.981,5.879,5.926,3.922,2.28,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
