Prompt Tuning Log
================================================================================
Date: 2026-01-19 17:36:21
Hyperparameters: Temperature=0.0, CoT=False
Model: gpt-4o-mini
================================================================================

Loading countries...

Selected 10 random countries:
  1. Bulgaria
  2. North Macedonia
  3. Tanzania
  4. Pakistan
  5. Saudi Arabia
  6. Montenegro
  7. Uruguay
  8. Mauritius
  9. Spain
  10. Niger

Loading real World Happiness Report data...
Loaded real data for 147 countries

Loading personas...
Found 20 personas

================================================================================
Testing Prompt Variations
================================================================================

================================================================================
Testing: Current/Baseline
Description: Original detailed prompt with comprehensive instructions
================================================================================

Country 1/10: Bulgaria
  ✓ Persona 1: [7.0, 6.0, 9.0, 8.0, 8.0, 5.0, 3.0]
  ✓ Persona 20: [3.0, 2.0, 4.0, 5.0, 3.0, 1.0, 2.0]

Country 9/10: Spain
  ✓ Persona 1: [8.0, 7.0, 9.0, 8.0, 9.0, 6.0, 5.0]
  ✓ Persona 2: [8.0, 7.0, 9.0, 8.0, 8.0, 9.0, 5.0]
  ✓ Persona 3: [7.0, 5.0, 9.0, 8.0, 7.0, 3.0, 4.0]
  ✓ Persona 4: [8.0, 6.0, 9.0, 7.0, 8.0, 6.0, 4.0]
  ✓ Persona 5: [7.0, 6.0, 8.0, 6.0, 7.0, 3.0, 4.0]
  ✓ Persona 6: [7.0, 5.0, 9.0, 8.0, 8.0, 3.0, 4.0]
  ✓ Persona 7: [6.0, 5.0, 8.0, 6.0, 5.0, 3.0, 4.0]
  ✓ Persona 8: [7.0, 8.0, 6.0, 8.0, 9.0, 3.0, 5.0]
  ✓ Persona 9: [8.0, 6.0, 10.0, 7.0, 8.0, 5.0, 4.0]
  ✓ Persona 10: [7.0, 5.0, 8.0, 7.0, 9.0, 3.0, 4.0]
  ✓ Persona 11: [6.0, 5.0, 7.0, 6.0, 4.0, 3.0, 5.0]
  ✓ Persona 12: [7.0, 5.0, 8.0, 7.0, 6.0, 3.0, 4.0]
  ✓ Persona 13: [7.0, 6.0, 8.0, 6.0, 7.0, 5.0, 4.0]
  ✓ Persona 14: [7.0, 5.0, 8.0, 7.0, 8.0, 6.0, 4.0]
  ✓ Persona 15: [8.0, 6.0, 9.0, 7.0, 8.0, 6.0, 4.0]
  ✓ Persona 16: [6.0, 5.0, 8.0, 7.0, 6.0, 9.0, 4.0]
  ✓ Persona 17: [5.0, 4.0, 7.0, 6.0, 3.0, 2.0, 4.0]
  ✓ Persona 18: [6.0, 5.0, 7.0, 6.0, 4.0, 3.0, 5.0]
  ✓ Persona 19: [8.0, 7.0, 9.0, 8.0, 9.0, 6.0, 4.0]
  ✓ Persona 20: [3.0, 2.0, 5.0, 6.0, 3.0, 0.0, 4.0]

Country 10/10: Niger
  ✓ Persona 1: [7.0, 6.0, 8.0, 7.0, 8.0, 5.0, 3.0]
  ✓ Persona 2: [8.0, 5.0, 9.0, 7.0, 6.0, 8.0, 3.0]
  ✓ Persona 3: [7.0, 5.0, 8.0, 6.0, 7.0, 3.0, 4.0]
  ✓ Persona 4: [7.0, 5.0, 9.0, 7.0, 8.0, 6.0, 3.0]
  ✓ Persona 5: [6.0, 5.0, 8.0, 7.0, 6.0, 3.0, 2.0]
  ✓ Persona 6: [6.0, 5.0, 8.0, 7.0, 8.0, 3.0, 2.0]
  ✓ Persona 7: [6.0, 5.0, 8.0, 6.0, 5.0, 3.0, 2.0]
  ✓ Persona 8: [7.0, 6.0, 5.0, 7.0, 8.0, 3.0, 4.0]
  ✓ Persona 9: [8.0, 5.0, 10.0, 6.0, 8.0, 3.0, 2.0]
  ✓ Persona 10: [7.0, 5.0, 6.0, 7.0, 9.0, 3.0, 2.0]
  ✓ Persona 11: [6.0, 5.0, 7.0, 6.0, 5.0, 6.0, 3.0]
  ✓ Persona 12: [6.0, 4.0, 8.0, 7.0, 5.0, 3.0, 2.0]
  ✓ Persona 13: [6.0, 5.0, 8.0, 7.0, 6.0, 3.0, 2.0]
  ✓ Persona 14: [7.0, 4.0, 8.0, 7.0, 6.0, 5.0, 3.0]
  ✓ Persona 15: [7.0, 5.0, 8.0, 6.0, 7.0, 6.0, 3.0]
  ✓ Persona 16: [6.0, 4.0, 8.0, 6.0, 7.0, 9.0, 3.0]
  ✓ Persona 17: [5.0, 4.0, 7.0, 6.0, 3.0, 2.0, 3.0]
  ✓ Persona 18: [6.0, 5.0, 7.0, 6.0, 4.0, 3.0, 2.0]
  ✓ Persona 19: [8.0, 5.0, 7.0, 8.0, 9.0, 6.0, 3.0]
  ✓ Persona 20: [3.0, 2.0, 4.0, 5.0, 3.0, 1.0, 2.0]

Completed: Concise Persona - 200 valid responses

Calculating comparison metrics...
Mean MAE: 4.498
Mean RMSE: 4.546
Mean Correlation: 0.492
Combined Score: 0.043
Valid Response Rate: 100.00%

================================================================================
Testing: JSON Format
Description: Output in JSON format instead of brackets
================================================================================

Country 1/10: Bulgaria
  ✓ Persona 1: [8.0, 7.0, 8.0, 7.0, 8.0, 5.0, 4.0]
  ✓ Persona 2: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 3: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 4: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 5: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 6: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 7: [6.0, 5.0, 8.0, 6.0, 6.0, 4.0, 3.0]
  ✓ Persona 8: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 9: [8.0, 5.0, 9.0, 6.0, 7.0, 4.0, 3.0]
  ✓ Persona 10: [7.0, 5.0, 8.0, 7.0, 8.0, 4.0, 3.0]
  ✓ Persona 11: [6.0, 5.0, 7.0, 6.0, 6.0, 4.0, 3.0]
  ✓ Persona 12: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 13: [7.0, 6.0, 8.0, 6.0, 7.0, 5.0, 3.0]
  ✓ Persona 14: [7.0, 5.0, 8.0, 7.0, 7.0, 4.0, 3.0]
  ✓ Persona 15: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 16: [6.0, 5.0, 8.0, 6.0, 7.0, 6.0, 3.0]
  ✓ Persona 17: [6.0, 5.0, 7.0, 6.0, 5.0, 3.0, 4.0]
  ✓ Persona 18: [6.0, 5.0, 7.0, 6.0, 5.0, 4.0, 3.0]
  ✓ Persona 19: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 20: [3.0, 2.0, 6.0, 5.0, 4.0, 1.0, 3.0]

Country 2/10: North Macedonia
  ✓ Persona 1: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 2: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 3: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 4: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 5: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 6: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 7: [6.0, 5.0, 8.0, 6.0, 6.0, 4.0, 3.0]
  ✓ Persona 8: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 9: [8.0, 6.0, 9.0, 6.0, 7.0, 5.0, 3.0]
  ✓ Persona 10: [7.0, 5.0, 8.0, 7.0, 8.0, 4.0, 3.0]
  ✓ Persona 11: [6.0, 5.0, 7.0, 6.0, 6.0, 4.0, 3.0]
  ✓ Persona 12: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 13: [7.0, 6.0, 8.0, 6.0, 7.0, 5.0, 3.0]
  ✓ Persona 14: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 15: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 16: [6.0, 5.0, 8.0, 6.0, 7.0, 6.0, 3.0]
  ✓ Persona 17: [6.0, 5.0, 8.0, 6.0, 5.0, 3.0, 4.0]
  ✓ Persona 18: [6.0, 5.0, 7.0, 6.0, 5.0, 4.0, 3.0]
  ✓ Persona 19: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 20: [3.0, 2.0, 6.0, 5.0, 4.0, 1.0, 3.0]

Country 3/10: Tanzania
  ✓ Persona 1: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 2: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 3: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 4: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 5: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 6: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 7: [6.0, 5.0, 8.0, 6.0, 6.0, 4.0, 3.0]
  ✓ Persona 8: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 9: [8.0, 5.0, 9.0, 6.0, 7.0, 4.0, 3.0]
  ✓ Persona 10: [7.0, 5.0, 8.0, 7.0, 8.0, 4.0, 3.0]
  ✓ Persona 11: [6.0, 5.0, 7.0, 6.0, 6.0, 4.0, 3.0]
  ✓ Persona 12: [7.0, 5.0, 8.0, 7.0, 6.0, 4.0, 3.0]
  ✓ Persona 13: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 14: [7.0, 5.0, 8.0, 7.0, 7.0, 6.0, 3.0]
  ✓ Persona 15: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 16: [6.0, 5.0, 8.0, 6.0, 7.0, 6.0, 3.0]
  ✓ Persona 17: [6.0, 5.0, 8.0, 7.0, 6.0, 3.0, 4.0]
  ✓ Persona 18: [6.0, 5.0, 7.0, 6.0, 5.0, 4.0, 3.0]
  ✓ Persona 19: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 20: [3.0, 2.0, 6.0, 5.0, 4.0, 1.0, 3.0]

Country 4/10: Pakistan
  ✓ Persona 1: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 2: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 3: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 4: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 5: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 6: [7.0, 5.0, 8.0, 7.0, 7.0, 4.0, 3.0]
  ✓ Persona 7: [6.0, 5.0, 7.0, 5.0, 6.0, 4.0, 3.0]
  ✓ Persona 8: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 9: [7.0, 6.0, 8.0, 6.0, 7.0, 5.0, 3.0]
  ✓ Persona 10: [7.0, 5.0, 8.0, 7.0, 8.0, 4.0, 3.0]
  ✓ Persona 11: [6.0, 5.0, 7.0, 6.0, 6.0, 4.0, 3.0]
  ✓ Persona 12: [7.0, 5.0, 8.0, 7.0, 6.0, 4.0, 3.0]
  ✓ Persona 13: [7.0, 6.0, 8.0, 6.0, 7.0, 5.0, 3.0]
  ✓ Persona 14: [7.0, 5.0, 8.0, 7.0, 7.0, 4.0, 3.0]
  ✓ Persona 15: [7.0, 5.0, 9.0, 6.0, 6.0, 4.0, 3.0]
  ✓ Persona 16: [6.0, 5.0, 8.0, 6.0, 7.0, 6.0, 3.0]
  ✓ Persona 17: [5.0, 4.0, 7.0, 6.0, 5.0, 3.0, 2.0]
  ✓ Persona 18: [6.0, 5.0, 7.0, 6.0, 5.0, 4.0, 3.0]
  ✓ Persona 19: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 20: [3.0, 2.0, 6.0, 5.0, 4.0, 1.0, 2.0]

Country 5/10: Saudi Arabia
  ✓ Persona 1: [8.0, 7.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 2: [8.0, 7.0, 9.0, 8.0, 6.0, 6.0, 5.0]
  ✓ Persona 3: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 4: [8.0, 6.0, 9.0, 7.0, 7.0, 6.0, 5.0]
  ✓ Persona 5: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 6: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 7: [6.0, 6.0, 8.0, 5.0, 6.0, 4.0, 3.0]
  ✓ Persona 8: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 9: [8.0, 7.0, 9.0, 6.0, 7.0, 5.0, 4.0]
  ✓ Persona 10: [7.0, 5.0, 8.0, 7.0, 8.0, 4.0, 3.0]
  ✓ Persona 11: [6.0, 7.0, 8.0, 6.0, 6.0, 5.0, 3.0]
  ✓ Persona 12: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 13: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 14: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 15: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 16: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 17: [6.0, 5.0, 8.0, 7.0, 4.0, 2.0, 3.0]
  ✓ Persona 18: [6.0, 5.0, 7.0, 6.0, 5.0, 4.0, 3.0]
  ✓ Persona 19: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 20: [3.0, 4.0, 6.0, 5.0, 4.0, 2.0, 3.0]

Country 6/10: Montenegro
  ✓ Persona 1: [8.0, 7.0, 8.0, 7.0, 8.0, 5.0, 4.0]
  ✓ Persona 2: [8.0, 6.0, 9.0, 7.0, 7.0, 6.0, 4.0]
  ✓ Persona 3: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 4: [8.0, 6.0, 9.0, 7.0, 7.0, 6.0, 3.0]
  ✓ Persona 5: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 6: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 7: [6.0, 5.0, 8.0, 6.0, 6.0, 4.0, 3.0]
  ✓ Persona 8: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 9: [8.0, 6.0, 9.0, 6.0, 7.0, 5.0, 3.0]
  ✓ Persona 10: [7.0, 5.0, 8.0, 7.0, 8.0, 4.0, 3.0]
  ✓ Persona 11: [6.0, 5.0, 7.0, 6.0, 6.0, 4.0, 3.0]
  ✓ Persona 12: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 13: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 14: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 15: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 16: [6.0, 5.0, 8.0, 6.0, 7.0, 6.0, 3.0]
  ✓ Persona 17: [6.0, 5.0, 8.0, 7.0, 6.0, 3.0, 4.0]
  ✓ Persona 18: [6.0, 5.0, 7.0, 6.0, 5.0, 4.0, 3.0]
  ✓ Persona 19: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 20: [3.0, 2.0, 6.0, 5.0, 4.0, 1.0, 3.0]

Country 7/10: Uruguay
  ✓ Persona 1: [8.0, 7.0, 9.0, 8.0, 8.0, 6.0, 5.0]
  ✓ Persona 2: [8.0, 6.0, 9.0, 7.0, 7.0, 6.0, 5.0]
  ✓ Persona 3: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 4: [8.0, 6.0, 9.0, 7.0, 7.0, 6.0, 5.0]
  ✓ Persona 5: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 6: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 7: [6.0, 5.0, 8.0, 6.0, 6.0, 4.0, 3.0]
  ✓ Persona 8: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 9: [8.0, 6.0, 10.0, 6.0, 7.0, 5.0, 4.0]
  ✓ Persona 10: [7.0, 5.0, 8.0, 7.0, 8.0, 4.0, 3.0]
  ✓ Persona 11: [6.0, 5.0, 8.0, 6.0, 6.0, 4.0, 3.0]
  ✓ Persona 12: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 13: [7.0, 6.0, 8.0, 6.0, 7.0, 5.0, 4.0]
  ✓ Persona 14: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 15: [8.0, 6.0, 9.0, 7.0, 7.0, 5.0, 3.0]
  ✓ Persona 16: [7.0, 5.0, 8.0, 6.0, 7.0, 6.0, 4.0]
  ✓ Persona 17: [6.0, 5.0, 7.0, 6.0, 5.0, 3.0, 4.0]
  ✓ Persona 18: [6.0, 5.0, 7.0, 6.0, 5.0, 4.0, 3.0]
  ✓ Persona 19: [8.0, 7.0, 9.0, 8.0, 7.0, 6.0, 5.0]
  ✓ Persona 20: [3.0, 4.0, 6.0, 5.0, 4.0, 2.0, 3.0]

Country 8/10: Mauritius
  ✓ Persona 1: [8.0, 7.0, 8.0, 7.0, 8.0, 5.0, 4.0]
  ✓ Persona 2: [8.0, 6.0, 9.0, 7.0, 7.0, 6.0, 5.0]
  ✓ Persona 3: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 4: [8.0, 6.0, 9.0, 7.0, 7.0, 6.0, 5.0]
  ✓ Persona 5: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 6: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 7: [6.0, 5.0, 8.0, 6.0, 6.0, 4.0, 3.0]
  ✓ Persona 8: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 9: [8.0, 6.0, 9.0, 6.0, 7.0, 5.0, 3.0]
  ✓ Persona 10: [7.0, 5.0, 8.0, 7.0, 8.0, 4.0, 3.0]
  ✓ Persona 11: [6.0, 5.0, 7.0, 6.0, 6.0, 4.0, 3.0]
  ✓ Persona 12: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 13: [7.0, 6.0, 8.0, 6.0, 7.0, 5.0, 4.0]
  ✓ Persona 14: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 15: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 16: [7.0, 5.0, 8.0, 6.0, 7.0, 6.0, 3.0]
  ✓ Persona 17: [6.0, 5.0, 8.0, 7.0, 6.0, 3.0, 4.0]
  ✓ Persona 18: [6.0, 5.0, 7.0, 6.0, 5.0, 4.0, 3.0]
  ✓ Persona 19: [8.0, 6.0, 9.0, 8.0, 7.0, 5.0, 4.0]
  ✓ Persona 20: [3.0, 4.0, 6.0, 5.0, 4.0, 2.0, 3.0]

Country 9/10: Spain
  ✓ Persona 1: [8.0, 7.0, 9.0, 8.0, 8.0, 6.0, 5.0]
  ✓ Persona 2: [8.0, 6.0, 9.0, 7.0, 7.0, 6.0, 5.0]
  ✓ Persona 3: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 4: [8.0, 6.0, 9.0, 7.0, 7.0, 6.0, 5.0]
  ✓ Persona 5: [7.0, 6.0, 8.0, 6.0, 7.0, 5.0, 4.0]
  ✓ Persona 6: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 7: [6.0, 5.0, 8.0, 6.0, 6.0, 4.0, 3.0]
  ✓ Persona 8: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 9: [8.0, 6.0, 10.0, 6.0, 7.0, 5.0, 3.0]
  ✓ Persona 10: [7.0, 5.0, 8.0, 7.0, 9.0, 4.0, 3.0]
  ✓ Persona 11: [6.0, 5.0, 8.0, 6.0, 6.0, 4.0, 3.0]
  ✓ Persona 12: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 13: [7.0, 6.0, 8.0, 6.0, 7.0, 5.0, 4.0]
  ✓ Persona 14: [7.0, 5.0, 8.0, 7.0, 7.0, 4.0, 3.0]
  ✓ Persona 15: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 16: [7.0, 5.0, 8.0, 6.0, 7.0, 6.0, 3.0]
  ✓ Persona 17: [6.0, 5.0, 8.0, 6.0, 5.0, 3.0, 4.0]
  ✓ Persona 18: [6.0, 5.0, 7.0, 6.0, 5.0, 4.0, 3.0]
  ✓ Persona 19: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 20: [3.0, 2.0, 6.0, 5.0, 4.0, 1.0, 3.0]

Country 10/10: Niger
  ✓ Persona 1: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 2: [7.0, 5.0, 9.0, 7.0, 6.0, 6.0, 3.0]
  ✓ Persona 3: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 4: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 5: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 6: [6.0, 5.0, 8.0, 7.0, 7.0, 4.0, 3.0]
  ✓ Persona 7: [6.0, 5.0, 8.0, 6.0, 6.0, 4.0, 3.0]
  ✓ Persona 8: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 9: [7.0, 6.0, 8.0, 6.0, 7.0, 5.0, 3.0]
  ✓ Persona 10: [7.0, 5.0, 8.0, 7.0, 8.0, 4.0, 3.0]
  ✓ Persona 11: [6.0, 5.0, 7.0, 6.0, 6.0, 4.0, 3.0]
  ✓ Persona 12: [7.0, 5.0, 8.0, 7.0, 6.0, 4.0, 3.0]
  ✓ Persona 13: [7.0, 6.0, 8.0, 6.0, 7.0, 5.0, 3.0]
  ✓ Persona 14: [7.0, 5.0, 8.0, 7.0, 7.0, 4.0, 3.0]
  ✓ Persona 15: [7.0, 5.0, 9.0, 6.0, 7.0, 4.0, 3.0]
  ✓ Persona 16: [6.0, 5.0, 8.0, 6.0, 7.0, 6.0, 3.0]
  ✓ Persona 17: [5.0, 4.0, 7.0, 6.0, 5.0, 3.0, 2.0]
  ✓ Persona 18: [6.0, 5.0, 7.0, 6.0, 6.0, 4.0, 3.0]
  ✓ Persona 19: [7.0, 6.0, 8.0, 7.0, 7.0, 5.0, 4.0]
  ✓ Persona 20: [3.0, 2.0, 6.0, 5.0, 4.0, 1.0, 2.0]

Completed: JSON Format - 200 valid responses

Calculating comparison metrics...
Mean MAE: 4.524
Mean RMSE: 4.562
Mean Correlation: 0.387
Combined Score: -0.065
Valid Response Rate: 100.00%

================================================================================
Testing: Few-shot Examples
Description: Includes example responses in prompt
================================================================================

Country 1/10: Bulgaria
  ✓ Persona 1: [8.0, 7.0, 9.0, 8.0, 9.0, 5.0, 4.0]
  ✓ Persona 2: [8.0, 6.0, 9.0, 8.0, 7.0, 8.0, 4.0]
  ✓ Persona 3: [7.0, 5.0, 8.0, 7.0, 6.0, 4.0, 3.0]
  ✓ Persona 4: [8.0, 6.0, 9.0, 7.0, 8.0, 5.0, 4.0]
  ✓ Persona 5: [7.0, 6.0, 8.0, 7.0, 6.0, 5.0, 4.0]
  ✓ Persona 6: [7.0, 5.0, 8.0, 8.0, 9.0, 2.0, 4.0]
  ✓ Persona 7: [6.0, 5.0, 8.0, 6.0, 5.0, 3.0, 4.0]
  ✓ Persona 8: [7.0, 6.0, 7.0, 8.0, 9.0, 5.0, 4.0]
  ✓ Persona 9: [8.0, 6.0, 10.0, 7.0, 8.0, 5.0, 4.0]
  ✓ Persona 10: [7.0, 5.0, 8.0, 7.0, 9.0, 3.0, 4.0]
  ✓ Persona 11: [6.0, 5.0, 7.0, 6.0, 5.0, 4.0, 3.0]
  ✓ Persona 12: [7.0, 5.0, 8.0, 7.0, 6.0, 3.0, 4.0]
  ✓ Persona 13: [7.0, 6.0, 8.0, 7.0, 8.0, 3.0, 4.0]
  ✓ Persona 14: [7.0, 5.0, 8.0, 7.0, 8.0, 6.0, 4.0]
  ✓ Persona 15: [8.0, 6.0, 9.0, 7.0, 8.0, 5.0, 3.0]
  ✓ Persona 16: [6.0, 5.0, 8.0, 7.0, 6.0, 9.0, 3.0]
  ✓ Persona 17: [5.0, 4.0, 7.0, 6.0, 3.0, 2.0, 5.0]
  ✓ Persona 18: [6.0, 5.0, 7.0, 6.0, 4.0, 3.0, 5.0]
  ✓ Persona 19: [8.0, 7.0, 9.0, 8.0, 9.0, 6.0, 4.0]
  ✓ Persona 20: [3.0, 2.0, 5.0, 6.0, 4.0, 1.0, 3.0]

Country 2/10: North Macedonia
  ✓ Persona 1: [8.0, 7.0, 9.0, 8.0, 9.0, 5.0, 4.0]
  ✓ Persona 2: [8.0, 6.0, 9.0, 8.0, 7.0, 8.0, 4.0]
  ✓ Persona 3: [7.0, 5.0, 8.0, 7.0, 6.0, 4.0, 3.0]
  ✓ Persona 4: [8.0, 6.0, 9.0, 7.0, 8.0, 5.0, 4.0]
  ✓ Persona 5: [7.0, 6.0, 8.0, 7.0, 6.0, 3.0, 5.0]
  ✓ Persona 6: [7.0, 5.0, 8.0, 8.0, 9.0, 2.0, 4.0]
  ✓ Persona 7: [6.0, 5.0, 8.0, 6.0, 5.0, 3.0, 4.0]
  ✓ Persona 8: [7.0, 8.0, 6.0, 8.0, 9.0, 3.0, 5.0]
  ✓ Persona 9: [8.0, 6.0, 10.0, 7.0, 9.0, 5.0, 4.0]
  ✓ Persona 10: [7.0, 5.0, 8.0, 7.0, 9.0, 3.0, 4.0]
  ✓ Persona 11: [6.0, 5.0, 7.0, 6.0, 5.0, 4.0, 3.0]
  ✓ Persona 12: [7.0, 5.0, 8.0, 7.0, 6.0, 3.0, 4.0]
  ✓ Persona 13: [7.0, 6.0, 8.0, 6.0, 7.0, 3.0, 4.0]
  ✓ Persona 14: [7.0, 5.0, 8.0, 7.0, 8.0, 3.0, 4.0]
  ✓ Persona 15: [7.0, 5.0, 9.0, 7.0, 8.0, 6.0, 3.0]
  ✓ Persona 16: [6.0, 5.0, 8.0, 7.0, 6.0, 9.0, 3.0]
  ✓ Persona 17: [5.0, 4.0, 7.0, 6.0, 3.0, 2.0, 5.0]
  ✓ Persona 18: [6.0, 5.0, 7.0, 6.0, 4.0, 3.0, 5.0]
  ✓ Persona 19: [8.0, 6.0, 9.0, 8.0, 7.0, 5.0, 3.0]
